n_nodes,n,e,shapley_node,shapley_edge,sampling_node,sampling_edge,permutation_node,permutation_edge,naive_node,naive_edge,grad_node,grad_edge,k,μ0,μ1
5,4,2,0.719,0.741,0.724,0.741,0.722,0.741,0.755,0.862,0.731,1.0,2.0,1.7,129.61
5,4,2,0.77,0.832,0.77,0.832,0.772,0.832,0.79,0.887,0.774,1.0,3.0,1.7,129.61
5,4,2,0.824,0.884,0.825,0.884,0.826,0.884,0.855,0.968,0.832,1.0,4.0,1.7,129.61
5,4,2,0.895,0.884,0.895,0.884,0.896,0.884,0.906,0.968,0.9,1.0,5.0,1.7,129.61
5,4,2,0.769,0.922,0.781,0.922,0.773,0.922,0.731,0.973,0.761,0.989,4.0,1.69,19.38
5,4,2,0.867,0.922,0.872,0.922,0.866,0.922,0.84,0.973,0.855,0.989,5.0,1.69,19.38
5,4,2,0.993,0.672,0.993,0.603,0.993,0.672,0.813,0.782,0.988,1.0,2.0,1.69,86.93
5,4,2,0.989,0.731,0.989,0.719,0.983,0.731,0.83,0.91,0.987,1.0,3.0,1.69,86.93
5,4,2,0.993,0.863,0.994,0.852,0.991,0.863,0.839,0.92,0.993,1.0,4.0,1.69,86.93
5,4,2,0.996,0.863,0.996,0.852,0.996,0.863,0.921,0.92,0.993,1.0,5.0,1.69,86.93
5,4,2,0.724,0.932,0.723,0.932,0.726,0.932,0.758,0.922,0.732,0.887,3.0,1.7,39.51
5,4,2,0.804,0.973,0.803,0.973,0.804,0.973,0.768,0.965,0.801,0.968,4.0,1.7,39.51
5,4,2,0.879,0.973,0.879,0.973,0.88,0.973,0.884,0.965,0.878,0.968,5.0,1.7,39.51
5,4,2,0.705,0.931,0.69,0.931,0.689,0.931,0.693,0.96,0.712,1.0,2.0,1.69,766.19
5,4,2,0.765,0.988,0.757,0.988,0.758,0.988,0.745,0.967,0.777,0.955,3.0,1.69,766.19
5,4,2,0.827,0.989,0.825,0.989,0.82,0.989,0.819,0.97,0.835,0.994,4.0,1.69,766.19
5,4,2,0.892,0.989,0.892,0.989,0.887,0.989,0.881,0.97,0.898,0.994,5.0,1.69,766.19
5,4,2,0.718,1.0,0.713,1.0,0.73,1.0,0.713,1.0,0.711,1.0,2.0,1.7,19208.24
5,4,2,0.759,0.955,0.759,0.955,0.756,0.955,0.761,0.955,0.751,0.955,3.0,1.7,19208.24
5,4,2,0.825,0.994,0.825,0.994,0.824,0.994,0.816,0.994,0.808,0.994,4.0,1.7,19208.24
5,4,2,0.893,0.994,0.894,0.994,0.893,0.994,0.891,0.994,0.89,0.994,5.0,1.7,19208.24
5,4,2,0.819,0.741,0.819,0.741,0.819,0.741,0.732,0.603,0.856,1.0,2.0,1.69,153.97
5,4,2,0.843,0.832,0.843,0.832,0.843,0.832,0.777,0.764,0.885,1.0,3.0,1.69,153.97
5,4,2,0.888,0.884,0.886,0.884,0.886,0.884,0.85,0.858,0.912,1.0,4.0,1.69,153.97
5,4,2,0.935,0.884,0.934,0.884,0.934,0.884,0.905,0.858,0.946,1.0,5.0,1.69,153.97
5,4,2,0.771,0.667,0.792,0.667,0.792,0.667,0.708,0.667,0.75,1.0,1.0,1.69,202.9
5,4,2,0.798,0.644,0.803,0.644,0.803,0.644,0.766,0.782,0.78,1.0,2.0,1.69,202.9
