n_nodes,n_anomaly_nodes,method,noise_dist,data_id,ndcg_ranking,ndcg_manual,k
15,2,SIREN,Normal,3,0.02,0.0,1
15,2,SIREN,Normal,3,0.111,0.046,2
15,2,SIREN,Normal,3,0.225,0.12,3
15,2,SIREN,Normal,3,0.333,0.141,4
15,2,SIREN,Normal,3,0.354,0.245,5
15,2,SIREN,Normal,3,0.381,0.272,6
15,2,SIREN,Normal,3,0.411,0.321,7
15,2,SIREN,Normal,3,0.435,0.356,8
15,2,SIREN,Normal,3,0.474,0.381,9
15,2,SIREN,Normal,3,0.49,0.42,10
15,2,BIGEN,Normal,3,0.05,0.0,1
15,2,BIGEN,Normal,3,0.091,0.07,2
15,2,BIGEN,Normal,3,0.152,0.1,3
15,2,BIGEN,Normal,3,0.184,0.153,4
15,2,BIGEN,Normal,3,0.208,0.21,5
15,2,BIGEN,Normal,3,0.24,0.249,6
15,2,BIGEN,Normal,3,0.286,0.29,7
15,2,BIGEN,Normal,3,0.329,0.325,8
15,2,BIGEN,Normal,3,0.37,0.369,9
15,2,BIGEN,Normal,3,0.399,0.44,10
15,2,Causal RCA,Normal,3,0.76,0.12,1
15,2,Causal RCA,Normal,3,0.659,0.197,2
15,2,Causal RCA,Normal,3,0.72,0.345,3
15,2,Causal RCA,Normal,3,0.756,0.413,4
15,2,Causal RCA,Normal,3,0.783,0.427,5
15,2,Causal RCA,Normal,3,0.796,0.432,6
15,2,Causal RCA,Normal,3,0.811,0.456,7
15,2,Causal RCA,Normal,3,0.831,0.487,8
15,2,Causal RCA,Normal,3,0.833,0.535,9
15,2,Causal RCA,Normal,3,0.835,0.567,10
15,2,CIRCA,Normal,3,0.53,0.0,1
15,2,CIRCA,Normal,3,0.547,0.101,2
15,2,CIRCA,Normal,3,0.596,0.125,3
15,2,CIRCA,Normal,3,0.639,0.173,4
15,2,CIRCA,Normal,3,0.659,0.22,5
15,2,CIRCA,Normal,3,0.678,0.29,6
15,2,CIRCA,Normal,3,0.701,0.331,7
15,2,CIRCA,Normal,3,0.718,0.377,8
15,2,CIRCA,Normal,3,0.725,0.41,9
15,2,CIRCA,Normal,3,0.738,0.425,10
15,2,Traversal,Normal,3,0.048,0.5,1
15,2,Traversal,Normal,3,0.067,0.442,2
15,2,Traversal,Normal,3,0.089,0.537,3
15,2,Traversal,Normal,3,0.115,0.685,4
15,2,Traversal,Normal,3,0.148,0.737,5
15,2,Traversal,Normal,3,0.207,0.741,6
15,2,Traversal,Normal,3,0.229,0.746,7
15,2,Traversal,Normal,3,0.29,0.746,8
15,2,Traversal,Normal,3,0.333,0.749,9
15,2,Traversal,Normal,3,0.381,0.749,10
15,2,Naive,Normal,3,0.1,0.2,1
15,2,Naive,Normal,3,0.162,0.2,2
15,2,Naive,Normal,3,0.2,0.255,3
15,2,Naive,Normal,3,0.292,0.303,4
15,2,Naive,Normal,3,0.33,0.364,5
15,2,Naive,Normal,3,0.368,0.417,6
15,2,Naive,Normal,3,0.391,0.458,7
15,2,Naive,Normal,3,0.425,0.508,8
15,2,Naive,Normal,3,0.452,0.549,9
15,2,Naive,Normal,3,0.476,0.559,10
