date,hodder_place,henthorn,new_jumbles_rock,whalley_weir
2010-01-01,5.12,8.74,19.9,5.35
2010-01-02,5.08,7.35,18.4,5.36
2010-01-03,4.12,6.08,15.1,4.42
2010-01-04,3.79,5.71,14.1,4.32
2010-01-05,3.59,5.45,14.0,4.57
2010-01-06,2.99,4.41,11.8,3.99
2010-01-07,2.3,3.43,10.4,3.3
2010-01-08,2.6,3.64,16.2,3.48
2010-01-09,2.81,3.77,24.0,3.46
2010-01-10,3.14,4.37,13.1,3.7
2010-01-11,3.16,4.57,12.3,4.29
2010-01-12,3.25,5.07,12.9,4.31
2010-01-13,3.11,4.97,12.3,3.95
2010-01-14,2.93,4.61,11.7,3.88
2010-01-15,25.7,32.5,83.2,27.9
2010-01-16,40.7,85.2,190.0,60.7
2010-01-17,22.4,41.5,84.3,16.7
2010-01-18,21.8,43.2,85.7,16.9
2010-01-19,10.4,18.7,42.4,10.2
2010-01-20,6.77,12.2,27.4,7.34
2010-01-21,21.3,22.0,47.0,7.47
2010-01-22,32.1,43.2,98.4,16.7
2010-01-23,9.54,16.8,37.3,8.45
2010-01-24,7.12,12.0,27.2,7.2
2010-01-25,5.76,9.35,21.8,6.09
2010-01-26,4.85,7.74,18.1,5.2
2010-01-27,5.38,7.97,19.2,5.79
2010-01-28,5.98,9.15,22.4,6.99
2010-01-29,7.51,9.26,25.3,7.37
2010-01-30,4.42,6.21,15.8,4.76
2010-01-31,3.74,5.0,13.1,4.1
2010-02-01,11.4,7.07,23.7,6.38
2010-02-02,24.1,24.8,72.1,17.5
2010-02-03,8.27,10.6,28.4,7.92
2010-02-04,8.25,9.96,28.0,9.04
2010-02-05,9.6,13.2,33.4,9.05
2010-02-06,6.64,9.68,23.5,6.24
2010-02-07,5.28,7.6,18.6,5.29
2010-02-08,4.64,6.53,16.4,4.9
2010-02-09,4.13,5.76,14.5,4.39
2010-02-10,3.64,5.06,12.9,4.01
2010-02-11,3.35,4.5,11.7,3.73
2010-02-12,3.26,4.38,11.4,3.71
2010-02-13,3.16,4.24,11.1,3.58
2010-02-14,3.04,3.95,10.5,3.42
2010-02-15,5.45,6.15,19.1,7.99
2010-02-16,6.41,11.6,28.1,8.52
2010-02-17,4.44,7.78,18.1,5.22
2010-02-18,4.59,6.77,17.8,6.08
2010-02-19,4.35,6.58,17.3,5.82
2010-02-20,3.62,5.35,14.0,4.68
2010-02-21,3.32,4.73,12.6,4.33
2010-02-22,3.05,4.22,11.4,3.92
2010-02-23,2.9,3.9,10.7,3.78
2010-02-24,5.21,5.6,15.7,5.0
2010-02-25,14.0,9.86,32.0,7.8
2010-02-26,31.1,33.7,104.0,35.5
2010-02-27,9.86,15.1,40.3,12.4
2010-02-28,6.55,9.73,25.1,7.73
2010-03-01,5.02,7.17,18.4,5.8
2010-03-02,4.44,6.24,15.8,4.95
2010-03-03,3.98,5.6,14.1,4.37
2010-03-04,3.58,4.85,12.5,3.93
2010-03-05,3.39,4.38,11.5,3.7
2010-03-06,3.39,4.21,11.2,3.58
2010-03-07,3.13,4.48,11.0,3.33
2010-03-08,2.9,3.77,9.85,3.17
2010-03-09,2.78,3.48,9.39,3.1
2010-03-10,2.57,3.32,8.94,3.0
2010-03-11,2.4,3.24,8.54,2.91
2010-03-12,2.51,3.15,8.43,2.86
2010-03-13,2.39,3.67,8.71,2.76
2010-03-14,2.36,3.47,8.41,2.7
2010-03-15,2.3,3.51,8.34,2.67
2010-03-16,2.23,3.82,8.53,2.63
2010-03-17,2.19,3.29,8.0,2.65
2010-03-18,2.1,3.51,8.0,2.6
2010-03-19,2.12,3.8,8.93,3.32
2010-03-20,9.52,16.0,45.7,17.7
2010-03-21,4.65,8.8,20.2,5.92
2010-03-22,5.5,7.49,17.8,5.06
2010-03-23,9.22,12.8,30.1,7.97
2010-03-24,11.3,17.4,39.6,8.78
2010-03-25,10.5,17.7,40.6,12.2
2010-03-26,14.8,35.6,67.8,13.1
2010-03-27,7.06,13.7,29.1,7.02
2010-03-28,4.63,8.14,17.8,4.85
2010-03-29,12.6,15.6,35.5,7.33
2010-03-30,31.5,46.5,106.0,26.5
2010-03-31,23.9,30.4,78.4,18.8
2010-04-01,11.1,13.8,37.2,10.1
2010-04-02,7.2,9.58,24.9,7.6
2010-04-03,5.86,11.0,25.2,8.28
2010-04-04,4.63,9.31,20.4,6.15
2010-04-05,14.3,29.9,52.1,6.14
2010-04-06,7.71,12.0,25.4,5.45
2010-04-07,6.58,10.6,22.3,4.86
2010-04-08,4.68,7.36,16.1,4.12
2010-04-09,3.96,6.02,13.5,3.74
2010-04-10,3.47,5.2,11.9,3.44
2010-04-11,3.13,4.55,10.6,3.22
2010-04-12,2.89,4.07,9.78,3.1
2010-04-13,2.72,3.74,9.11,2.94
2010-04-14,2.56,3.44,8.57,2.86
2010-04-15,2.44,3.21,8.09,2.76
2010-04-16,2.34,3.02,7.69,2.66
2010-04-17,2.26,2.93,7.44,2.59
2010-04-18,2.19,2.79,7.18,2.52
2010-04-19,2.14,2.7,6.97,2.48
2010-04-20,2.11,2.59,6.79,2.45
2010-04-21,2.15,2.44,6.69,2.46
2010-04-22,1.97,2.36,6.38,2.35
2010-04-23,1.94,2.22,6.19,2.33
2010-04-24,1.89,2.15,6.0,2.28
