n_nodes,n_anomaly_nodes,method,noise_dist,data_id,ndcg_ranking,ndcg_manual,k
15,2,SIREN,Normal,3,0.98,0.0,1
15,2,SIREN,Normal,3,0.98,0.3533206620000162,2
15,2,SIREN,Normal,3,0.98,0.5733206620000163,3
15,2,SIREN,Normal,3,0.98,0.5733206620000163,4
15,2,SIREN,Normal,3,0.98,0.5733206620000163,5
15,2,SIREN,Normal,3,0.98,0.5733206620000163,6
15,2,SIREN,Normal,3,0.98,0.5733206620000163,7
15,2,SIREN,Normal,3,0.98,0.5733206620000163,8
15,2,SIREN,Normal,3,0.9860205999132796,0.5733206620000163,9
15,2,SIREN,Normal,3,0.9860205999132796,0.5733206620000163,10
15,2,BIGEN,Normal,3,1.0,0.0,1
15,2,BIGEN,Normal,3,1.0,0.5173623979285952,2
15,2,BIGEN,Normal,3,1.0,0.6073623979285953,3
15,2,BIGEN,Normal,3,1.0,0.6073623979285953,4
15,2,BIGEN,Normal,3,1.0,0.6073623979285953,5
15,2,BIGEN,Normal,3,1.0,0.6073623979285953,6
15,2,BIGEN,Normal,3,1.0,0.6073623979285953,7
15,2,BIGEN,Normal,3,1.0,0.6073623979285953,8
15,2,BIGEN,Normal,3,1.0,0.6073623979285953,9
15,2,BIGEN,Normal,3,1.0,0.6073623979285953,10
15,2,Causal RCA,Normal,3,1.0,0.0,1
15,2,Causal RCA,Normal,3,1.0,0.06309297535714575,2
15,2,Causal RCA,Normal,3,1.0,0.1530929753571458,3
15,2,Causal RCA,Normal,3,1.0,0.2736824116176958,4
15,2,Causal RCA,Normal,3,1.0,0.3820011976433675,5
15,2,Causal RCA,Normal,3,1.0,0.41762191635416973,6
15,2,Causal RCA,Normal,3,1.0,0.4376219163541697,7
15,2,Causal RCA,Normal,3,1.0,0.4376219163541697,8
15,2,Causal RCA,Normal,3,1.0,0.4376219163541697,9
15,2,Causal RCA,Normal,3,1.0,0.4376219163541697,10
15,2,CIRCA,Normal,3,1.0,0.0,1
15,2,CIRCA,Normal,3,1.0,0.6309297535714576,2
15,2,CIRCA,Normal,3,1.0,0.6309297535714576,3
15,2,CIRCA,Normal,3,1.0,0.6309297535714576,4
15,2,CIRCA,Normal,3,1.0,0.6309297535714576,5
15,2,CIRCA,Normal,3,1.0,0.6309297535714576,6
15,2,CIRCA,Normal,3,1.0,0.6309297535714576,7
15,2,CIRCA,Normal,3,1.0,0.6309297535714576,8
15,2,CIRCA,Normal,3,1.0,0.6309297535714576,9
15,2,CIRCA,Normal,3,1.0,0.6309297535714576,10
15,2,Traversal,Normal,3,0.0,0.10300000000000001,1
15,2,Traversal,Normal,3,0.0,0.28786241779643706,2
15,2,Traversal,Normal,3,0.0,0.4343624177964371,3
15,2,Traversal,Normal,3,0.0,0.5605506493119413,4
15,2,Traversal,Normal,3,0.0,0.5675139998421631,5
15,2,Naive,Normal,3,0.0,0.0,1
15,2,Naive,Normal,3,0.0,0.0,2
15,2,Naive,Normal,3,0.0,0.0,3
15,2,Naive,Normal,3,0.0,0.0,4
15,2,Naive,Normal,3,0.0,0.0,5
15,2,Naive,Normal,3,0.0,0.0,6
15,2,Naive,Normal,3,0.0,0.0,7
15,2,Naive,Normal,3,0.0,0.18927892607143731,8
15,2,Naive,Normal,3,0.0,0.2314231254643947,9
15,2,Naive,Normal,3,0.0,0.3065799803070455,10
