n_nodes,n_anomaly_nodes,method,noise_dist,data_id,ndcg_ranking,ndcg_manual,k
15,2,CIRCA,Normal,3,1.0,0.0,1
15,2,CIRCA,Normal,3,0.7601875334318684,0.6309297535714576,2
15,2,CIRCA,Normal,3,0.8019978477706212,0.6309297535714576,3
15,2,CIRCA,Normal,3,0.8216415447939457,0.6309297535714576,4
15,2,CIRCA,Normal,3,0.8451679993005712,0.6309297535714576,5
15,2,CIRCA,Normal,3,1.0,0.0,1
15,2,CIRCA,Normal,3,0.7601875334318684,0.6309297535714576,2
15,2,CIRCA,Normal,3,0.8286044114407366,0.6309297535714576,3
15,2,CIRCA,Normal,3,0.8351523104485113,0.6309297535714576,4
15,2,CIRCA,Normal,3,0.8351523104485113,0.6309297535714576,5
15,2,CIRCA,Normal,3,0.8459836809668454,0.6309297535714576,6
15,2,CIRCA,Normal,3,0.8510515978563913,0.6309297535714576,7
15,2,CIRCA,Normal,3,0.8678384705161603,0.6309297535714576,8
15,2,CIRCA,Normal,3,0.8747036480129446,0.6309297535714576,9
15,2,CIRCA,Normal,3,0.89008569142538,0.6309297535714576,10
