n_nodes,n,e,shapley_node,shapley_edge,sampling_node,sampling_edge,permutation_node,permutation_edge,naive_node,naive_edge,grad_node,grad_edge,k,μ0,μ1
11,4,2,0.886,0.676,0.835,0.64,0.856,0.486,0.866,0.641,0.89,0.921,10.0,1.69,497.01
11,4,2,0.901,0.676,0.86,0.702,0.88,0.547,0.884,0.641,0.897,0.921,11.0,1.69,497.01
11,4,2,0.938,0.823,0.928,0.807,0.924,0.837,0.817,0.598,0.804,0.973,10.0,1.68,2083.19
11,4,2,0.938,0.885,0.928,0.868,0.924,0.898,0.823,0.66,0.844,0.973,11.0,1.68,2083.19
11,4,2,0.958,0.833,0.896,0.833,0.906,0.833,0.677,0.0,1.0,1.0,1.0,1.69,110.99
11,4,2,0.931,0.684,0.937,0.895,0.938,0.684,0.633,0.189,0.976,0.986,5.0,1.69,110.99
11,4,2,0.937,0.745,0.942,0.924,0.942,0.745,0.663,0.184,0.965,0.987,6.0,1.69,110.99
11,4,2,0.96,0.794,0.954,0.924,0.955,0.794,0.686,0.233,0.977,0.987,7.0,1.69,110.99
11,4,2,0.966,0.817,0.963,0.924,0.966,0.794,0.695,0.233,0.989,0.987,8.0,1.69,110.99
11,4,2,0.976,0.817,0.968,0.924,0.97,0.816,0.728,0.233,0.99,0.987,9.0,1.69,110.99
11,4,2,0.976,0.817,0.971,0.945,0.971,0.816,0.759,0.361,0.99,0.987,10.0,1.69,110.99
11,4,2,0.977,0.817,0.971,0.945,0.972,0.816,0.798,0.423,0.99,0.987,11.0,1.69,110.99
11,4,2,0.883,0.676,0.938,0.795,0.836,0.759,0.863,0.671,0.804,0.947,9.0,1.69,27705.14
11,4,2,0.89,0.676,0.938,0.88,0.836,0.78,0.919,0.714,0.812,0.947,10.0,1.69,27705.14
11,4,2,0.894,0.779,0.938,0.88,0.836,0.862,0.919,0.714,0.812,0.947,11.0,1.69,27705.14
11,4,2,0.823,0.758,0.871,0.751,0.916,0.735,0.823,0.534,0.807,0.99,8.0,1.68,1794.0
11,4,2,0.834,0.758,0.874,0.751,0.918,0.758,0.834,0.578,0.827,0.99,9.0,1.68,1794.0
11,4,2,0.84,0.758,0.882,0.857,0.923,0.758,0.839,0.578,0.881,0.99,10.0,1.68,1794.0
11,4,2,0.845,0.758,0.882,0.857,0.923,0.758,0.852,0.578,0.896,0.99,11.0,1.68,1794.0
11,4,2,0.947,0.651,0.957,0.713,0.913,0.648,0.924,0.538,0.857,0.902,10.0,1.69,159.59
11,4,2,0.947,0.651,0.957,0.713,0.913,0.648,0.938,0.661,0.873,0.902,11.0,1.69,159.59
11,4,2,0.819,0.769,0.924,0.689,0.944,0.707,0.852,0.699,0.923,0.984,8.0,1.69,2433.73
11,4,2,0.835,0.769,0.926,0.689,0.946,0.707,0.876,0.81,0.936,0.984,9.0,1.69,2433.73
11,4,2,0.859,0.769,0.931,0.71,0.955,0.707,0.893,0.81,0.94,0.984,10.0,1.69,2433.73
11,4,2,0.859,0.769,0.935,0.792,0.955,0.789,0.908,0.81,0.945,0.984,11.0,1.69,2433.73
11,4,2,0.888,0.644,0.932,0.731,0.973,0.759,0.787,0.674,0.938,0.897,8.0,1.69,1496.72
11,4,2,0.901,0.644,0.94,0.731,0.973,0.759,0.837,0.674,0.938,0.941,9.0,1.69,1496.72
11,4,2,0.908,0.686,0.94,0.731,0.973,0.759,0.849,0.781,0.938,0.963,10.0,1.69,1496.72
11,4,2,0.909,0.707,0.94,0.752,0.973,0.759,0.86,0.781,0.938,0.963,11.0,1.69,1496.72
11,4,2,0.927,0.699,0.972,0.574,0.978,0.579,0.843,0.608,0.89,0.965,9.0,1.7,462.55
11,4,2,0.931,0.742,0.972,0.574,0.98,0.579,0.863,0.608,0.89,0.965,10.0,1.7,462.55
11,4,2,0.931,0.742,0.974,0.574,0.981,0.579,0.891,0.608,0.928,0.965,11.0,1.7,462.55
11,4,2,0.99,1.0,0.99,1.0,0.792,1.0,0.938,1.0,0.99,1.0,1.0,1.69,16.71
11,4,2,0.972,0.655,0.972,0.655,0.894,0.655,0.757,0.655,0.967,0.862,2.0,1.69,16.71
11,4,2,0.912,0.762,0.963,0.762,0.882,0.762,0.769,0.538,0.959,0.932,3.0,1.69,16.71
11,4,2,0.895,0.683,0.921,0.752,0.875,0.683,0.75,0.482,0.968,0.973,4.0,1.69,16.71
11,4,2,0.914,0.643,0.926,0.708,0.856,0.701,0.743,0.454,0.97,0.975,5.0,1.69,16.71
11,4,2,0.945,0.673,0.95,0.69,0.908,0.683,0.785,0.634,0.983,0.974,8.0,1.69,16.71
11,4,2,0.963,0.695,0.962,0.69,0.922,0.683,0.808,0.634,0.983,0.974,9.0,1.69,16.71
11,4,2,0.963,0.695,0.97,0.711,0.925,0.704,0.835,0.656,0.986,0.974,10.0,1.69,16.71
11,4,2,0.966,0.777,0.973,0.793,0.93,0.787,0.878,0.738,0.986,0.974,11.0,1.69,16.71
11,4,2,0.819,0.653,0.805,0.326,0.924,0.819,0.451,0.17,0.963,0.809,3.0,1.7,273.24
11,4,2,0.844,0.655,0.849,0.465,0.941,0.803,0.463,0.152,0.965,0.933,4.0,1.7,273.24
11,4,2,0.902,0.689,0.905,0.588,0.958,0.834,0.7,0.371,0.985,0.938,9.0,1.7,273.24
11,4,2,0.908,0.689,0.905,0.652,0.958,0.898,0.714,0.392,0.988,0.938,10.0,1.7,273.24
11,4,2,0.908,0.75,0.905,0.652,0.958,0.898,0.735,0.433,0.988,0.938,11.0,1.7,273.24
11,4,2,0.85,0.664,0.843,0.63,0.891,0.713,0.785,0.531,0.828,0.856,7.0,1.7,60.07
11,4,2,0.878,0.781,0.869,0.63,0.907,0.737,0.819,0.531,0.831,0.879,8.0,1.7,60.07
11,4,2,0.889,0.847,0.882,0.696,0.925,0.848,0.841,0.642,0.847,0.879,9.0,1.7,60.07
11,4,2,0.89,0.847,0.894,0.717,0.93,0.848,0.894,0.642,0.863,0.879,10.0,1.7,60.07
11,4,2,0.896,0.847,0.904,0.82,0.938,0.848,0.907,0.704,0.874,0.879,11.0,1.7,60.07
11,4,2,0.922,0.675,0.949,0.613,0.948,0.614,0.91,0.788,0.961,0.992,10.0,1.69,674.98
11,4,2,0.924,0.675,0.95,0.613,0.948,0.614,0.935,0.788,0.961,0.992,11.0,1.69,674.98
11,4,2,0.812,1.0,0.719,1.0,0.625,1.0,1.0,0.5,0.812,1.0,1.0,1.7,474.65
11,4,2,0.881,0.729,0.925,0.705,0.883,0.796,0.858,0.571,0.874,0.956,10.0,1.7,474.65
11,4,2,0.884,0.729,0.927,0.787,0.884,0.837,0.868,0.674,0.889,0.956,11.0,1.7,474.65
11,4,2,0.909,0.953,0.927,0.975,0.921,0.95,0.886,0.565,0.826,0.992,10.0,1.68,1329.25
11,4,2,0.913,0.953,0.928,0.975,0.921,0.95,0.904,0.565,0.832,0.992,11.0,1.68,1329.25
11,4,2,0.939,0.697,0.917,0.688,0.876,0.713,0.553,0.293,0.965,0.893,6.0,1.69,524.68
11,4,2,0.946,0.697,0.929,0.688,0.907,0.713,0.589,0.416,0.981,0.893,7.0,1.69,524.68
